label, x, y, z
Afghanistan, 43.0, 0, 0
Albania, 100.0, 0, 0
Algeria, 100.0, 0, 0
American Samoa, 59.3, 0, 0
Andorra, 100.0, 0, 0
Angola, 37.0, 0, 0
Antigua and Barbuda, 90.9, 0, 0
Argentina, 99.8, 0, 0
Armenia, 100.0, 0, 0
Aruba, 90.9, 0, 0
Australia, 100.0, 0, 0
Austria, 100.0, 0, 0
Azerbaijan, 100.0, 0, 0
Bahamas, 100.0, 0, 0
Bahrain, 97.7, 0, 0
Bangladesh, 59.6, 0, 0
Barbados, 90.9, 0, 0
Belarus, 100.0, 0, 0
